0x1F989	:owl:
0x1F9A9	:⊛ flamingo:
0x1F99A	:peacock:
0x1F99C	:parrot:
0x1F438	:frog:
0x1F40A	:crocodile:
0x1F422	:turtle:
0x1F98E	:lizard:
0x1F40D	:snake:
0x1F432	:dragon face:
0x1F409	:dragon:
0x1F995	:sauropod:
0x1F996	:T-Rex:
0x1F433	:spouting whale:
0x1F40B	:whale:
0x1F42C	:dolphin:
0x1F41F	:fish:
0x1F420	:tropical fish:
0x1F421	:blowfish:
0x1F988	:shark:
0x1F419	:octopus:
0x1F41A	:spiral shell:
0x1F40C	:snail:
0x1F98B	:butterfly:
0x1F41B	:bug:
0x1F41C	:ant:
0x1F41D	:honeybee:
0x1F41E	:lady beetle:
0x1F997	:cricket:
0x1F577	:spider:
0x1F578	:spider web:
0x1F982	:scorpion:
0x1F99F	:mosquito:
0x1F9A0	:microbe:
0x1F490	:bouquet:
0x1F338	:cherry blossom:
0x1F4AE	:white flower:
0x1F3F5	:rosette:
0x1F339	:rose:
0x1F940	:wilted flower:
0x1F33A	:hibiscus:
0x1F33B	:sunflower:
0x1F33C	:blossom:
0x1F337	:tulip:
0x1F331	:seedling:
0x1F332	:evergreen tree:
0x1F333	:deciduous tree:
0x1F334	:palm tree:
0x1F335	:cactus:
0x1F33E	:sheaf of rice:
0x1F33F	:herb:
0x2618	:shamrock:
0x1F340	:four leaf clover:
0x1F341	:maple leaf:
0x1F342	:fallen leaf:
0x1F343	:leaf fluttering in wind:
0x1F347	:grapes:
0x1F348	:melon:
0x1F349	:watermelon:
0x1F34A	:tangerine:
0x1F34B	:lemon:
0x1F34C	:banana:
0x1F34D	:pineapple:
0x1F96D	:mango:
0x1F34E	:red apple:
0x1F34F	:green apple:
0x1F350	:pear:
0x1F351	:peach:
0x1F352	:cherries:
0x1F353	:strawberry:
0x1F95D	:kiwi fruit:
0x1F345	:tomato:
0x1F965	:coconut:
0x1F951	:avocado:
0x1F346	:eggplant:
0x1F954	:potato:
0x1F955	:carrot:
0x1F33D	:ear of corn:
0x1F336	:hot pepper:
0x1F952	:cucumber:
0x1F96C	:leafy green:
0x1F966	:broccoli:
0x1F9C4	:⊛ garlic:
0x1F9C5	:⊛ onion:
0x1F344	:mushroom:
0x1F95C	:peanuts:
0x1F330	:chestnut:
0x1F35E	:bread:
0x1F950	:croissant:
0x1F956	:baguette bread:
0x1F968	:pretzel:
0x1F96F	:bagel:
0x1F95E	:pancakes:
0x1F9C7	:⊛ waffle:
0x1F9C0	:cheese wedge:
0x1F356	:meat on bone:
0x1F357	:poultry leg:
0x1F969	:cut of meat:
0x1F953	:bacon:
0x1F354	:hamburger:
0x1F35F	:french fries:
0x1F355	:pizza:
0x1F32D	:hot dog:
0x1F96A	:sandwich:
